"","Timestamp","MaxCurr","EffCurr","Screen1","Screen2","Device"
"1",1536129671.00052,24.41,17.3,"Off","Off","On"
"2",1536129672.06381,12.21,8.6,"Off","Off","Off"
"3",1536129673.12971,36.62,25.9,"Off","Idle","Off"
"4",1536129674.19543,24.41,17.3,"Off","Off","On"
"5",1536129675.26064,36.62,25.9,"Off","Idle","Off"
"6",1536129676.32516,24.41,17.3,"Off","Off","On"
"7",1536129677.3894,12.21,8.6,"Off","Off","Off"
"8",1536129678.45385,24.41,17.3,"Off","Off","On"
"9",1536129679.5174,12.21,8.6,"Off","Off","Off"
"10",1536129680.58041,24.41,17.3,"Off","Off","On"
"11",1536129681.6467,36.62,25.9,"Off","Idle","Off"
"12",1536129682.70863,12.21,8.6,"Off","Off","Off"
"13",1536129683.77508,24.41,17.3,"Off","Off","On"
"14",1536129684.84405,7336.43,5188.4,"On","On","On"
"15",1536129685.91546,366.21,259,"On","On","Off"
"16",1536129686.98343,122.07,86.3,"Idle","Idle","On"
"17",1536129688.05298,219.73,155.4,"On","Off","Off"
"18",1536129689.11947,231.93,164,"Idle","On","Off"
"19",1536129690.19061,219.73,155.4,"On","Off","Off"
"20",1536129691.25951,231.93,164,"Idle","On","Off"
"21",1536129692.32737,219.73,155.4,"On","Off","Off"
"22",1536129693.39527,219.73,155.4,"On","Off","Off"
"23",1536129694.45967,73.24,51.8,"Idle","Idle","Off"
"24",1536129695.52809,231.93,164,"Idle","On","Off"
"25",1536129696.59666,244.14,172.7,"Idle","On","On"
"26",1536129697.66714,231.93,164,"Idle","On","Off"
"27",1536129698.73605,231.93,164,"Idle","On","Off"
"28",1536129699.80411,219.73,155.4,"On","Off","Off"
"29",1536129700.87099,231.93,164,"Idle","On","Off"
"30",1536129701.94046,244.14,172.7,"Idle","On","On"
"31",1536129703.00975,231.93,164,"Idle","On","Off"
"32",1536129704.07831,231.93,164,"Idle","On","Off"
"33",1536129705.14609,231.93,164,"Idle","On","Off"
"34",1536129706.21409,244.14,172.7,"Idle","On","On"
"35",1536129707.28383,244.14,172.7,"Idle","On","On"
"36",1536129708.35137,219.73,155.4,"On","Off","Off"
"37",1536129709.41893,231.93,164,"Idle","On","Off"
"38",1536129710.48644,244.14,172.7,"Idle","On","On"
"39",1536129711.55503,231.93,164,"Idle","On","Off"
